age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,y
2,4,1,3,0,2143,1,0,5,5,261,1,0
2,9,2,2,0,29,1,0,5,5,151,1,0
2,2,1,2,0,2,1,1,5,5,76,1,0
2,4,1,3,0,231,1,0,5,5,139,1,0
1,4,2,3,0,447,1,1,5,5,217,1,0
2,2,0,3,1,2,1,0,5,5,380,1,0
2,5,1,1,0,121,1,0,5,5,50,1,0
2,9,2,2,0,593,1,0,5,5,55,1,0
2,0,0,2,0,270,1,0,5,5,222,1,0
1,0,2,2,0,390,1,0,5,5,137,1,0
2,9,1,2,0,6,1,0,5,5,517,1,0
2,7,1,2,0,162,1,0,5,5,174,1,0
2,5,1,1,0,229,1,0,5,5,353,1,0
2,1,1,1,0,52,1,0,5,5,38,1,0
2,5,1,1,0,60,1,0,5,5,219,1,0
2,7,1,2,0,0,1,0,5,5,54,1,0
1,1,1,2,0,723,1,1,5,5,262,1,0
2,4,1,3,0,779,1,0,5,5,164,1,0
2,1,2,1,0,23,1,1,5,5,160,1,0
1,7,1,2,0,50,1,0,5,5,342,1,0
2,5,1,1,0,0,1,1,5,5,181,1,0
2,0,1,2,0,-372,1,0,5,5,172,1,0
2,4,2,3,0,255,1,0,5,5,296,1,0
2,2,1,2,0,113,1,1,5,5,127,1,0
2,4,2,2,0,-246,1,0,5,5,255,2,0
2,9,2,2,0,265,1,1,5,5,348,1,0
2,9,1,2,0,839,0,1,5,5,225,1,0
2,4,1,3,0,378,1,0,5,5,230,1,0
2,0,1,2,0,39,1,1,5,5,208,1,0
2,1,1,2,0,0,1,0,5,5,226,1,0
2,4,1,3,0,10635,1,0,5,5,336,1,0
2,9,0,2,0,63,1,0,5,5,242,1,0
1,1,1,2,0,-7,1,0,5,5,365,1,0
2,9,1,2,0,-3,0,0,5,5,1666,1,0
2,0,0,2,0,506,1,0,5,5,577,1,0
2,0,2,2,0,0,1,0,5,5,137,1,0
2,7,0,2,0,2586,1,0,5,5,160,1,0
2,4,1,2,0,49,1,0,5,5,180,2,0
2,5,1,2,0,529,1,0,5,5,1492,1,0
2,0,2,1,0,-171,1,0,5,5,242,1,0
2,6,1,3,0,-364,1,0,5,5,355,1,0
2,9,1,2,0,0,1,0,5,5,225,2,0
2,9,0,2,0,0,0,0,5,5,160,1,0
1,4,2,3,0,0,1,0,5,5,363,1,0
2,1,1,2,0,1291,1,0,5,5,266,1,0
2,4,0,3,0,-244,1,0,5,5,253,1,0
2,4,1,3,0,0,1,0,5,5,179,1,0
2,0,2,2,0,-76,1,0,5,5,787,1,0
1,9,2,2,0,-103,1,1,5,5,145,1,0
2,2,2,3,0,243,0,1,5,5,174,1,0
2,4,2,3,0,424,1,0,5,5,104,1,0
2,7,1,1,0,179,1,0,5,5,1778,1,0
2,0,1,3,0,0,1,0,5,5,138,1,0
2,9,0,2,0,989,1,0,5,5,812,1,0
2,1,1,1,0,249,1,0,5,5,164,1,0
2,7,1,2,0,790,1,0,5,5,391,1,0
2,4,1,3,0,6530,1,0,5,5,91,1,0
