age,job,marital,education,balance,housing,loan,month,duration,campaign,y
1.0,3.0,1.0,3.0,1226,0,0,7,350,4,0
1.0,9.0,2.0,2.0,456,0,0,2,16,9,0
2.0,2.0,1.0,2.0,707,0,0,6,233,1,0
2.0,9.0,1.0,2.0,1299,1,0,5,104,1,0
2.0,4.0,1.0,3.0,-383,1,0,5,241,1,0
2.0,1.0,2.0,1.0,1308,0,1,6,161,1,0
1.0,3.0,2.0,3.0,979,1,0,5,272,4,0
1.0,0.0,0.0,2.0,1320,1,1,5,489,1,0
2.0,0.0,0.0,2.0,49,1,0,5,155,2,0
2.0,9.0,1.0,2.0,1385,1,1,7,446,1,0
2.0,1.0,1.0,2.0,306,1,0,5,86,1,0
2.0,4.0,1.0,3.0,-692,1,1,5,117,2,0
2.0,1.0,2.0,1.0,5058,1,0,5,157,1,0
2.0,1.0,1.0,2.0,2374,0,0,7,143,2,0
2.0,6.0,1.0,3.0,3012,0,0,11,98,4,0
2.0,1.0,1.0,2.0,2353,1,1,7,334,3,0
2.0,4.0,1.0,2.0,14611,1,0,7,67,1,0
2.0,4.0,1.0,1.0,21,0,0,7,118,1,0
2.0,9.0,1.0,2.0,1130,0,0,8,223,8,0
2.0,0.0,0.0,2.0,783,1,1,5,135,3,0
2.0,7.0,1.0,2.0,2578,0,0,7,86,3,0
2.0,5.0,0.0,1.0,97,0,0,6,59,1,0
2.0,7.0,1.0,2.0,2399,1,0,5,303,2,0
2.0,0.0,1.0,2.0,5401,0,0,8,824,2,0
2.0,9.0,1.0,2.0,11431,0,0,8,141,5,0
2.0,3.0,1.0,2.0,3944,1,0,6,64,6,0
2.0,9.0,2.0,3.0,610,0,0,6,241,2,0
2.0,1.0,1.0,2.0,0,0,0,8,311,5,0
2.0,4.0,1.0,3.0,166,0,0,8,392,6,0
2.0,9.0,1.0,3.0,0,1,1,7,155,2,0
2.0,1.0,2.0,1.0,1006,0,0,6,124,1,0
2.0,1.0,0.0,2.0,14,1,1,5,65,6,0
2.0,1.0,1.0,1.0,-3,1,0,4,114,2,0
2.0,7.0,1.0,2.0,-1036,1,0,6,65,17,0
2.0,4.0,0.0,3.0,-478,1,0,11,87,5,0
2.0,6.0,1.0,1.0,1074,1,0,4,38,1,0
2.0,9.0,2.0,3.0,-380,1,0,5,413,1,0
2.0,5.0,1.0,2.0,919,1,1,5,408,2,0
1.0,1.0,1.0,2.0,365,0,0,7,381,4,0
2.0,1.0,0.0,1.0,2246,1,0,5,294,2,0
2.0,10.0,1.0,1.0,2290,1,0,4,274,1,0
2.0,1.0,1.0,1.0,5,1,0,7,112,2,0
2.0,6.0,1.0,2.0,3329,0,0,11,166,1,0
2.0,1.0,1.0,1.0,139,1,0,5,106,1,0
2.0,7.0,1.0,2.0,440,1,0,6,91,1,0
2.0,7.0,1.0,2.0,0,1,0,7,272,1,0
2.0,4.0,1.0,3.0,94,1,0,11,281,3,0
2.0,7.0,1.0,2.0,395,0,0,11,196,3,0
2.0,3.0,1.0,1.0,3166,0,0,6,14,12,0
2.0,3.0,1.0,1.0,8,0,1,7,116,2,0
2.0,4.0,1.0,3.0,3348,0,0,8,74,1,0
1.0,7.0,2.0,2.0,5,0,1,7,84,6,0
2.0,1.0,1.0,1.0,351,0,1,7,326,11,0
2.0,5.0,1.0,3.0,3616,0,1,8,63,2,0
1.0,0.0,2.0,2.0,1018,1,0,1,58,1,0
2.0,9.0,2.0,3.0,6,0,0,8,243,2,0
2.0,4.0,2.0,3.0,155,1,0,8,291,1,0
2.0,0.0,2.0,2.0,0,1,0,5,66,1,0
2.0,4.0,1.0,3.0,3038,0,0,8,693,7,0
2.0,1.0,1.0,1.0,1738,0,0,2,895,3,0
2.0,9.0,2.0,3.0,6889,1,0,11,1221,1,0
2.0,9.0,1.0,2.0,251,1,1,7,128,3,0
2.0,9.0,1.0,3.0,816,1,1,4,520,2,0
2.0,1.0,1.0,2.0,750,1,0,5,204,1,0
2.0,0.0,1.0,2.0,1214,1,0,7,118,2,0
2.0,7.0,2.0,2.0,228,1,0,5,257,1,0
2.0,9.0,0.0,2.0,73,1,0,7,324,2,0
2.0,4.0,1.0,3.0,224,1,0,7,68,3,0
2.0,1.0,2.0,2.0,4619,0,0,11,104,1,0
2.0,9.0,1.0,2.0,8,0,1,8,87,2,0
2.0,4.0,2.0,3.0,370,0,0,8,386,3,0
2.0,1.0,1.0,1.0,0,0,0,7,39,1,0
2.0,7.0,2.0,3.0,1222,1,0,2,251,1,0
1.0,0.0,1.0,2.0,789,1,0,7,202,1,0
2.0,1.0,1.0,2.0,630,0,0,4,192,2,0
2.0,2.0,1.0,2.0,-170,1,0,5,39,1,0
2.0,4.0,2.0,3.0,223,1,0,4,281,3,0
2.0,9.0,1.0,2.0,0,0,0,8,103,2,0
2.0,0.0,1.0,2.0,506,1,0,5,281,1,0
2.0,0.0,2.0,2.0,163,1,0,1,107,2,0
2.0,10.0,0.0,1.0,414,0,0,1,267,1,0
2.0,7.0,1.0,2.0,109,1,0,5,597,3,0
2.0,1.0,1.0,2.0,7216,1,0,5,143,2,0
1.0,1.0,1.0,1.0,172,1,0,5,410,3,0
2.0,9.0,1.0,2.0,2363,1,0,5,247,1,0
2.0,9.0,1.0,2.0,332,1,0,2,276,1,0
2.0,1.0,1.0,2.0,217,1,0,4,375,2,0
2.0,4.0,1.0,2.0,350,1,0,5,110,2,0
2.0,4.0,1.0,3.0,2951,0,0,11,101,3,0
2.0,1.0,0.0,2.0,-2093,1,1,7,120,3,0
2.0,1.0,1.0,1.0,2356,0,1,7,236,2,0
2.0,0.0,0.0,2.0,360,0,0,5,332,1,0
2.0,4.0,1.0,3.0,266,1,1,5,251,1,0
2.0,9.0,0.0,2.0,12389,0,1,7,711,1,0
2.0,9.0,1.0,2.0,327,1,0,4,537,3,0
